solution_id,coverage_score,total_cost,grid_risk,avg_suitability,diversity,population_index,score,knee_distance
1,9.702391624450684,17579782.925337832,2.006379057914063,0.4582499861717224,1.0,0,0.5023,0.9667078226039657
2,10.394123077392578,19288268.853189223,1.7927590613460247,0.49949997663497925,1.0,1,0.5085,0.9046801297088432
3,9.349833488464355,17641571.532695696,3.101428145429491,0.4910000264644623,1.0,2,0.45630000000000004,1.0011024716505252
4,17.500818252563477,35236402.74428181,18.818423983781805,0.8852500915527344,1.0,3,0.4975,1.037886774925034
5,19.930025100708008,38167991.186257616,22.880250574651356,0.7480000257492065,1.0,4,0.49770000000000003,1.2074067063397473
6,18.911245346069336,39439202.61869153,29.705295552949202,0.8358750343322754,1.0,5,0.46510000000000007,1.417487920116727
7,10.402618408203125,17679888.534812666,2.199189932097222,0.4309999346733093,1.0,6,0.5023,0.9006240836111571
8,16.457693099975586,31225252.0,11.518574714660645,0.7576249837875366,1.0,7,0.5315,0.7866333445824837
9,18.26125717163086,37875708.11229025,24.005411152754306,0.8613750338554382,1.0,8,0.45250000000000007,1.2329771226465036
10,17.494279861450195,33253738.818155844,15.449991913564812,0.815750002861023,1.0,9,0.5091,0.8980756341062128
11,19.23798942565918,35968236.986418545,18.92873688889741,0.7767500281333923,1.0,10,0.5465000000000001,1.043462256593913
12,10.093006134033203,17983816.535391387,2.0964825946111034,0.5172499418258667,1.0,11,0.5017,0.9300054705378784
13,10.702683448791504,20522602.098044477,2.4572695012117345,0.5373749732971191,1.0,12,0.5035,0.8827841145583551
14,19.68267059326172,38690351.186257616,22.723018290105458,0.7475000023841858,1.0,13,0.4887,1.222899122364702
15,18.68363380432129,38827442.5068916,21.39720997664712,0.848750114440918,1.0,14,0.4833,1.2049848174497912
16,11.530584335327148,21592472.259959348,2.965302070546179,0.5718749761581421,1.0,15,0.5126999999999999,0.8159124103999003
17,17.685420989990234,36944551.16410091,20.015345857850264,0.8647500872612,1.0,16,0.4705,1.1207118585520162
18,11.115675926208496,20944129.955639493,5.551193239375792,0.5977500081062317,1.0,17,0.47550000000000003,0.8578302856013895
19,18.959901809692383,35612462.45443595,17.643323468283054,0.7873750925064087,1.0,18,0.5617,1.0056850533098076
20,16.806377410888672,32560426.818155844,15.102300377615105,0.8014999628067017,1.0,19,0.5139,0.8855456352177035
21,15.191904067993164,28921886.030136812,7.409270853461102,0.7323750257492065,1.0,20,0.5335,0.7143259736507718
22,15.105835914611816,26929144.028774034,12.703284688533204,0.6289999485015869,1.0,21,0.4683000000000001,0.7373081583947236
23,10.977686882019043,22429621.843034055,3.2061350891676126,0.6188749670982361,1.0,22,0.48810000000000003,0.8762096482614278
24,10.866334915161133,18696783.249956317,2.4561583461006755,0.4402499794960022,1.0,23,0.5133,0.8585176899365417
25,13.653799057006836,24702402.79290062,4.338216679757686,0.653124988079071,1.0,24,0.5488999999999999,0.6829194803208969
26,15.789636611938477,29639419.28216367,10.090588386968188,0.7823749780654907,1.0,25,0.5545,0.738836958580282
27,14.765900611877441,27314568.546622522,8.481431291297316,0.7277500033378601,1.0,26,0.5157,0.7028384592153031
28,17.79581069946289,31312391.82859147,21.10755369802318,0.6425000429153442,1.0,27,0.4507,0.9561304969651885
29,12.184484481811523,23282774.432527248,4.322502274143176,0.6682499647140503,1.0,28,0.5159,0.7824448500615652
30,14.205194473266602,27863870.800460424,4.567037245702058,0.6791250109672546,1.0,29,0.5267,0.7238740808338184
31,18.488018035888672,37460196.97127132,19.993154989707936,0.8290001153945923,1.0,30,0.5067,1.127331201234213
32,12.815019607543945,24472472.0,7.928394845326742,0.6712499856948853,1.0,31,0.4969,0.7745834675409302
33,18.055227279663086,34252883.497009836,11.800049573604108,0.7607500553131104,1.0,32,0.5590999999999999,0.8612280738483703
34,11.878153800964355,20716773.111342564,2.5418366966211208,0.46974998712539673,1.0,33,0.5277,0.7749098790549935
35,16.80571937561035,30975482.42396586,10.82194739915817,0.746999979019165,1.0,34,0.5455,0.7532453763822695
36,15.77411937713623,28761399.373393167,6.607379684257993,0.7113749980926514,1.0,35,0.5617,0.6676089754531804
37,18.326126098632812,35183827.498012185,16.76857792139529,0.7631250619888306,1.0,36,0.5219,0.9794886374918543
38,11.582836151123047,23163067.586445466,11.451848628559711,0.5782500505447388,1.0,37,0.42410000000000003,0.898566616068271
39,13.14149284362793,25457747.86573706,13.368812109506832,0.6863749623298645,1.0,38,0.4373,0.8447276952769633
40,10.454704284667969,20248892.52981783,5.340046514003589,0.5922499895095825,1.0,39,0.46130000000000004,0.9127479535154244
41,16.002880096435547,30407275.49801218,11.922019350533475,0.7747499942779541,1.0,40,0.5237,0.7834666506226489
42,18.406217575073242,35965372.593473785,13.66469982363538,0.8440000414848328,1.0,41,0.5662999999999999,0.9534497738765577
43,14.81412410736084,27916340.765264776,16.13599307040015,0.68812495470047,1.0,42,0.42850000000000005,0.8493903735821917
44,18.904211044311523,38148142.81815584,23.038317414053093,0.7918750047683716,1.0,43,0.4771000000000001,1.2141294906273594
45,13.256717681884766,25984391.377807736,11.719677812297073,0.6818749904632568,1.0,44,0.4585,0.8198406604131071
46,12.211519241333008,22547363.068672374,2.969260774231816,0.49037498235702515,1.0,45,0.5173,0.7652615811771073
47,15.601415634155273,26694432.927837197,9.731493461828505,0.5214999914169312,1.0,46,0.5195000000000001,0.6497193553796776
48,12.79871654510498,23951772.0,8.080412915547688,0.6093749403953552,1.0,47,0.47670000000000007,0.7681300445486088
49,13.505488395690918,25368838.570431527,15.419507002244773,0.7546249628067017,1.0,48,0.4549,0.8567503895012545
50,15.380756378173828,28036526.612347797,14.783173236275584,0.7022500038146973,1.0,49,0.4689,0.7939197257163402
