grid_id,row,col,candidate_score,demand,suitability,grid_capacity,remaining_capacity_mw,grid_risk,existing_supply
46653,182,61,0.9350478649139404,0.9141870737075806,1.0,0.9036453366279602,2.7494781017303467,0.09849132597446442,0.0
18244,71,68,0.932718813419342,0.9099966883659363,1.0,0.9180386662483215,2.786900520324707,0.08248604089021683,0.05714285746216774
50580,197,148,0.917604923248291,0.9205617308616638,1.0,0.8364719748497009,2.574827194213867,0.18016302585601807,0.0
18245,71,69,0.9064833521842957,0.8409687876701355,1.0,0.9193045496940613,2.790192127227783,0.08179430663585663,0.0
62801,245,81,0.8978433609008789,0.8189793825149536,0.9700000882148743,0.9458222389221191,2.859138011932373,0.054640062153339386,0.0
30061,117,109,0.8969159126281738,0.894506573677063,1.0,0.8049238920211792,2.492802143096924,0.21468611061573029,0.0
40560,158,112,0.8955756425857544,0.9435549974441528,1.0,0.7116206288337708,2.250213384628296,0.2961235046386719,0.0
19029,74,85,0.88907790184021,0.8061599731445312,1.0,0.9136468768119812,2.775481939315796,0.08887796103954315,0.0
32624,127,112,0.8888629674911499,0.9021145701408386,1.0,0.7663639187812805,2.3925464153289795,0.26034826040267944,0.0
41852,163,124,0.8843106627464294,0.9131375551223755,1.0,0.7200160622596741,2.2720417976379395,0.2866877615451813,0.0
63001,246,25,0.881361186504364,0.9057883024215698,0.6975000500679016,0.9449470639228821,2.8568623065948486,0.060914456844329834,0.0
43596,170,76,0.8775344491004944,0.8895198106765747,0.7150000333786011,0.9443108439445496,2.855208396911621,0.06044544279575348,0.0
28294,110,134,0.8678753972053528,0.9513880014419556,1.0,0.5920608639717102,1.9393579959869385,0.4086431860923767,0.0
50266,196,90,0.8645169138908386,0.9174875617027283,0.7150000333786011,0.8525559902191162,2.616645336151123,0.1577281653881073,0.0
23653,92,101,0.8607439398765564,0.8750728964805603,0.70250004529953,0.9165863990783691,2.7831249237060547,0.09019457548856735,0.0
35947,140,107,0.8602659106254578,0.8156603574752808,1.0,0.7940204739570618,2.4644534587860107,0.21375809609889984,0.0
37957,148,69,0.8573916554450989,0.8509053587913513,0.6950000524520874,0.9484150409698486,2.8658790588378906,0.055503688752651215,0.0
43857,171,81,0.8544231057167053,0.8575208187103271,0.7150000333786011,0.9123889803886414,2.7722113132476807,0.09298636019229889,0.0
31085,121,109,0.8543693423271179,0.820081889629364,1.0,0.7743790745735168,2.4133858680725098,0.25061988830566406,0.0
43080,168,72,0.8534365296363831,0.8337312340736389,0.6975000500679016,0.9604530334472656,2.8971779346466064,0.0433126799762249,0.0
49220,192,68,0.8534123301506042,0.8410322666168213,1.0,0.7291592359542847,2.295814037322998,0.2836751639842987,0.0
48965,191,69,0.8533889651298523,0.8348832130432129,1.0,0.7386847138404846,2.320580244064331,0.27300402522087097,0.0
41788,163,60,0.851699709892273,0.8294832706451416,0.6950000524520874,0.9619945287704468,2.901185989379883,0.04004736244678497,0.0
62768,245,48,0.8499504923820496,0.8318188786506653,0.6950000524520874,0.9502494931221008,2.8706488609313965,0.04931950941681862,0.0
24973,97,141,0.8499310612678528,0.8925914764404297,0.6975000500679016,0.8499745726585388,2.609933853149414,0.15488030016422272,0.0
50244,196,68,0.8485749959945679,0.8578233122825623,1.0,0.6708970665931702,2.1443324089050293,0.3196873664855957,0.0
49563,193,155,0.848066508769989,0.9394012689590454,1.0,0.5268489718437195,1.76980721950531,0.45257270336151123,0.0
20058,78,90,0.8477442860603333,0.7138133645057678,1.0,0.9352412223815918,2.831627130508423,0.06657566130161285,0.0714285746216774
14643,57,51,0.8474152684211731,0.8271484971046448,0.6975000500679016,0.9490063190460205,2.8674163818359375,0.05454864725470543,0.0
13091,51,35,0.8470843434333801,0.8154338002204895,0.6975000500679016,0.965894341468811,2.911325216293335,0.03512115404009819,0.0
46912,183,64,0.8463771343231201,0.8635014295578003,0.7150000333786011,0.8700311779975891,2.662081003189087,0.13068172335624695,0.0
42323,165,83,0.8414444327354431,0.8262729048728943,0.7150000333786011,0.9199578166007996,2.7918903827667236,0.0918225646018982,0.0
33141,129,117,0.8413003087043762,0.8556640148162842,1.0,0.6653857231140137,2.130002737045288,0.35729843378067017,0.0
37506,146,130,0.8405751585960388,0.8417150378227234,1.0,0.6927879452705383,2.20124888420105,0.3422074615955353,0.0
42338,165,98,0.8397424817085266,0.815691351890564,1.0,0.7203155755996704,2.272820234298706,0.2917100489139557,0.0
21344,83,96,0.8371862173080444,0.8004035949707031,0.6975000500679016,0.9559172987937927,2.885385274887085,0.04803648963570595,0.0
42613,166,117,0.837080180644989,0.7786493897438049,1.0,0.7718465924263,2.406801223754883,0.23955702781677246,0.0
55365,216,69,0.8357701301574707,0.7963900566101074,0.6950000524520874,0.9586076140403748,2.8923799991607666,0.04425553232431412,0.0
14644,57,52,0.8357117176055908,0.8006473779678345,0.6975000500679016,0.9498628377914429,2.869643449783325,0.05375400185585022,0.0
64305,251,49,0.8334371447563171,0.7997201085090637,0.6950000524520874,0.9427772760391235,2.8512208461761475,0.0571342334151268,0.0
27998,109,94,0.8314875364303589,0.9168367385864258,0.6975000500679016,0.7887248992919922,2.4506850242614746,0.22538280487060547,0.1428571492433548
25699,100,99,0.8298628926277161,0.839782178401947,0.6850000619888306,0.877596914768219,2.6817519664764404,0.13567161560058594,0.0
32862,128,94,0.8290033340454102,0.7714791893959045,1.0,0.7577706575393677,2.370203733444214,0.2606317102909088,0.0
32611,127,99,0.8287279009819031,0.8565831184387207,1.0,0.6004489660263062,1.9611672163009644,0.3919220566749573,0.0
55107,215,67,0.8286583423614502,0.7711647152900696,0.7150000333786011,0.9593201279640198,2.8942322731018066,0.04322770610451698,0.0
43880,171,104,0.8272022604942322,0.8591654300689697,0.6975000500679016,0.8268774747848511,2.5498812198638916,0.18764930963516235,0.0
46174,180,94,0.8268722891807556,0.8424996733665466,0.7075000405311584,0.840753436088562,2.58595871925354,0.16428670287132263,0.0
28273,110,113,0.8267067670822144,0.8881489634513855,0.6850000619888306,0.7886940836906433,2.4506046772003174,0.23069052398204803,0.0
33374,130,94,0.8265036940574646,0.7550698518753052,1.0,0.7737869024276733,2.411846160888672,0.2408812940120697,0.0
28765,112,93,0.8259262442588806,0.8765236139297485,0.7075000405311584,0.7864322662353516,2.4447240829467773,0.2292083352804184,0.0
