epoch,loss,mae
1.440000000000000000e+02,2.835348248481750488e-02,1.358676850795745850e-01
1.450000000000000000e+02,2.780288457870483398e-02,1.315055638551712036e-01
1.460000000000000000e+02,2.780959010124206543e-02,1.263605058193206787e-01
1.470000000000000000e+02,2.755073830485343933e-02,1.229136437177658081e-01
1.480000000000000000e+02,2.720916271209716797e-02,1.217527762055397034e-01
1.490000000000000000e+02,2.694800868630409241e-02,1.211947575211524963e-01
1.500000000000000000e+02,2.671650983393192291e-02,1.194790229201316833e-01
1.510000000000000000e+02,2.640458568930625916e-02,1.189225763082504272e-01
1.520000000000000000e+02,2.627114951610565186e-02,1.159457340836524963e-01
1.530000000000000000e+02,2.591158822178840637e-02,1.170906648039817810e-01
1.540000000000000000e+02,2.564349211752414703e-02,1.154748797416687012e-01
1.550000000000000000e+02,2.535000070929527283e-02,1.142656654119491577e-01
1.560000000000000000e+02,2.502906695008277893e-02,1.149568781256675720e-01
1.570000000000000000e+02,2.467046678066253662e-02,1.145090013742446899e-01
1.580000000000000000e+02,2.444269508123397827e-02,1.150976419448852539e-01
1.590000000000000000e+02,2.414606139063835144e-02,1.192350611090660095e-01
1.600000000000000000e+02,2.371387183666229248e-02,1.191668137907981873e-01
1.610000000000000000e+02,2.360191382467746735e-02,1.190716475248336792e-01
1.620000000000000000e+02,2.321125194430351257e-02,1.229029670357704163e-01
1.630000000000000000e+02,2.379733882844448090e-02,1.197342500090599060e-01
1.640000000000000000e+02,2.410143055021762848e-02,1.235220432281494141e-01
1.650000000000000000e+02,2.370329201221466064e-02,1.209408491849899292e-01
1.660000000000000000e+02,2.292601577937602997e-02,1.156428679823875427e-01
1.670000000000000000e+02,2.242238260805606842e-02,1.182000786066055298e-01
1.680000000000000000e+02,2.345064096152782440e-02,1.232461929321289062e-01
1.690000000000000000e+02,2.288989722728729248e-02,1.219017505645751953e-01
1.700000000000000000e+02,2.194154448807239532e-02,1.134978979825973511e-01
1.710000000000000000e+02,2.131597325205802917e-02,1.131243705749511719e-01
1.720000000000000000e+02,2.111375145614147186e-02,1.133567243814468384e-01
1.730000000000000000e+02,2.089125476777553558e-02,1.107539162039756775e-01
1.740000000000000000e+02,2.078703045845031738e-02,1.072901040315628052e-01
1.750000000000000000e+02,2.049801871180534363e-02,1.051510721445083618e-01
1.760000000000000000e+02,2.005900070071220398e-02,1.055738702416419983e-01
1.770000000000000000e+02,1.989141106605529785e-02,1.062306910753250122e-01
1.780000000000000000e+02,1.962496340274810791e-02,1.106312274932861328e-01
1.790000000000000000e+02,1.959709078073501587e-02,1.157252341508865356e-01
1.800000000000000000e+02,1.944154314696788788e-02,1.165443509817123413e-01
1.810000000000000000e+02,2.182651683688163757e-02,1.149799600243568420e-01
1.820000000000000000e+02,1.977958530187606812e-02,1.093205437064170837e-01
1.830000000000000000e+02,1.981647685170173645e-02,1.047965064644813538e-01
1.840000000000000000e+02,2.049822732806205750e-02,1.042833700776100159e-01
1.850000000000000000e+02,1.990328729152679443e-02,1.016019433736801147e-01
1.860000000000000000e+02,1.971242018043994904e-02,1.008781418204307556e-01
1.870000000000000000e+02,1.903101429343223572e-02,9.869216382503509521e-02
1.880000000000000000e+02,1.871396973729133606e-02,9.708347171545028687e-02
1.890000000000000000e+02,1.838430017232894897e-02,9.498409181833267212e-02
1.900000000000000000e+02,1.812974177300930023e-02,9.538660943508148193e-02
1.910000000000000000e+02,1.785843633115291595e-02,9.626752138137817383e-02
1.920000000000000000e+02,1.738748326897621155e-02,9.788415580987930298e-02
1.930000000000000000e+02,1.734785176813602448e-02,1.005121320486068726e-01
1.940000000000000000e+02,1.720821671187877655e-02,1.049796789884567261e-01
1.950000000000000000e+02,1.849607005715370178e-02,1.093406900763511658e-01
1.960000000000000000e+02,2.734327875077724457e-02,1.287739574909210205e-01
1.970000000000000000e+02,3.267906606197357178e-02,1.331025362014770508e-01
1.980000000000000000e+02,2.607030235230922699e-02,9.667188674211502075e-02
1.990000000000000000e+02,2.561659552156925201e-02,8.273442834615707397e-02
2.000000000000000000e+02,2.608062699437141418e-02,7.634909451007843018e-02
