station_rank,grid_id,grid_row,grid_col,fast_chargers,slow_chargers,estimated_power_kw,estimated_power_mw,remaining_capacity_mw,grid_utilisation_ratio,grid_overload_mw,demand_score,land_cost_proxy,construction_suitability,grid_capacity_proxy,grid_overload_risk
1,60494,236,78,5,11,992.0,0.992,2.856266975402832,0.34730646978827806,0.0,0.6881332993507385,0.22750000655651093,0.375,0.944718062877655,0.054442934691905975
2,39045,152,133,4,3,666.0,0.666,2.3043859004974365,0.2890140925858963,0.0,0.79472815990448,0.39249998331069946,0.42250001430511475,0.7324562072753906,0.2987026572227478
3,39242,153,74,4,4,688.0,0.688,2.9000391960144043,0.23723817283074497,0.0,0.6303677558898926,0.09750000387430191,0.4099999964237213,0.9615535140037537,0.042228709906339645
4,32615,127,103,5,13,1036.0,1.036,1.775517225265503,0.5834919454780739,0.0,0.8977461457252502,0.9674999713897705,1.0,0.5290451645851135,0.4450041651725769
5,22893,89,109,5,10,970.0,0.97,2.783308267593384,0.34850613253799606,0.0,0.6225765943527222,0.09750000387430191,0.4099999964237213,0.9166569113731384,0.09048020094633102
6,24995,97,163,4,6,732.0,0.732,1.6923121213912964,0.4325443224966105,0.0,0.9225715398788452,0.8700000047683716,0.7150000333786011,0.4970431625843048,0.49723947048187256
7,44883,175,83,6,14,1208.0,1.208,2.7323057651519775,0.44211742895210265,0.0,0.7389837503433228,0.22750000655651093,0.6950000524520874,0.897040605545044,0.10621678084135056
8,46491,181,155,1,7,304.0,0.304,2.1146650314331055,0.1437579926282602,0.0,0.7934951186180115,0.09750000387430191,0.4099999964237213,0.6594865322113037,0.37054169178009033
9,19564,76,108,2,3,366.0,0.366,2.9171760082244873,0.1254638043670058,0.0,0.6675688028335571,0.09750000387430191,0.4099999964237213,0.9681445360183716,0.03326437622308731
10,55861,218,53,4,1,622.0,0.622,2.957857608795166,0.21028733707480982,0.0,0.5581824779510498,0.19500000774860382,0.39250001311302185,0.9837914109230042,0.01795293390750885
11,45255,176,199,7,9,1248.0,1.248,2.4591822624206543,0.5074857683673891,0.0,0.8470482230186462,1.0,0.6975000500679016,0.7919931411743164,0.21487551927566528
12,32186,125,186,6,1,922.0,0.922,0.6069182753562927,1.5191501680497888,0.4061194659471512,0.8713716268539429,1.0,1.0,0.07958394289016724,0.9093759059906006
13,23396,91,100,5,5,860.0,0.86,2.795660972595215,0.30761956060847434,0.0,0.637361466884613,0.09750000387430191,0.4099999964237213,0.9214079976081848,0.08393392711877823
14,23258,90,218,1,7,304.0,0.304,2.1238858699798584,0.14313386811264153,0.0,0.8103412389755249,0.22750000655651093,0.39250001311302185,0.6630329489707947,0.33145710825920105
15,31054,121,78,5,8,926.0,0.926,2.273056983947754,0.40738090005634636,0.0,0.8634564280509949,0.8700000047683716,0.4124999940395355,0.7204065322875977,0.29322049021720886
16,30339,118,131,4,6,732.0,0.732,1.7201741933822632,0.42553829886304567,0.0,0.8384692072868347,0.22750000655651093,0.39250001311302185,0.5077593326568604,0.5024981498718262
17,57902,226,46,5,11,992.0,0.992,2.9691591262817383,0.3341013255972832,0.0,0.6942962408065796,0.49000000953674316,0.690000057220459,0.9881381392478943,0.012666023336350918
18,48209,188,81,6,8,1076.0,1.076,2.7347190380096436,0.39345906656031615,0.0,0.7781408429145813,0.22750000655651093,0.39250001311302185,0.8979688286781311,0.11577881872653961
19,17505,68,97,7,13,1336.0,1.336,2.8960413932800293,0.46131937309323434,0.0,0.742266833782196,0.22750000655651093,0.39250001311302185,0.9600158929824829,0.04246776923537254
20,64639,252,127,3,12,714.0,0.714,2.9017550945281982,0.24605798102892296,0.0,0.6474977135658264,0.09750000387430191,0.4099999964237213,0.9622135162353516,0.04011154547333717
