generation,best_coverage,best_cost,best_grid_risk
1,16.1081600189209,22403131.23568045,2.1643202775215364
2,16.1081600189209,22303059.51813092,2.1643202775215364
3,16.1081600189209,20718759.698683597,2.1643202775215364
4,16.24991798400879,20718759.698683597,2.1643202775215364
5,16.24991798400879,20718759.698683597,2.1643202775215364
6,17.26948356628418,20718759.698683597,2.1643202775215364
7,17.26948356628418,20718759.698683597,2.1643202775215364
8,17.26948356628418,20718759.698683597,2.1643202775215364
9,17.26948356628418,19995415.84506081,2.1643202775215364
10,17.26948356628418,19977457.632259026,2.011544950803121
11,17.26948356628418,19977457.632259026,2.011544950803121
12,17.479829788208008,19977457.632259026,2.011544950803121
13,17.479829788208008,19977457.632259026,2.011544950803121
14,17.479829788208008,19977457.632259026,2.011544950803121
15,17.479829788208008,19162092.0,1.8343254509307525
16,17.479829788208008,19162092.0,1.8343254509307525
17,17.551698684692383,19162092.0,1.8343254509307525
18,17.551698684692383,19162092.0,1.8343254509307525
19,17.734750747680664,19162092.0,1.8343254509307525
20,17.734750747680664,19162092.0,1.8343254509307525
21,17.734750747680664,19162092.0,1.8343254509307525
22,17.734750747680664,19162092.0,1.8343254509307525
23,17.734750747680664,19162092.0,1.8343254509307525
24,17.734750747680664,19162092.0,1.8343254509307525
25,17.734750747680664,19162092.0,1.8343254509307525
26,17.903709411621094,19162092.0,1.8343254509307525
27,17.903709411621094,19162092.0,1.8343254509307525
28,17.903709411621094,19162092.0,1.8343254509307525
29,17.9130802154541,19162092.0,1.8343254509307525
30,17.9130802154541,18857587.69364813,1.8343254509307525
31,17.9130802154541,18857587.69364813,1.8343254509307525
32,18.21079444885254,18857587.69364813,1.8343254509307525
33,18.21079444885254,18275071.88376052,1.8343254509307525
34,18.21079444885254,18275071.88376052,1.8343254509307525
35,18.21079444885254,18275071.88376052,1.8343254509307525
36,18.399105072021484,18220862.10228542,1.8343254509307525
37,18.399105072021484,17579782.925337832,1.8343254509307525
38,18.399105072021484,17579782.925337832,1.8343254509307525
39,18.399105072021484,17579782.925337832,1.8343254509307525
40,18.399105072021484,17579782.925337832,1.8343254509307525
41,18.399105072021484,17579782.925337832,1.8343254509307525
42,18.399105072021484,17579782.925337832,1.8343254509307525
43,18.453598022460938,17579782.925337832,1.7927590613460247
44,18.453598022460938,17579782.925337832,1.7927590613460247
45,18.477027893066406,17579782.925337832,1.7927590613460247
46,18.505748748779297,17579782.925337832,1.7927590613460247
47,18.505748748779297,17579782.925337832,1.7927590613460247
48,18.85568618774414,17579782.925337832,1.7927590613460247
49,18.877578735351562,17579782.925337832,1.7927590613460247
50,18.877578735351562,17579782.925337832,1.7927590613460247
51,18.877578735351562,17579782.925337832,1.7927590613460247
52,19.930025100708008,17579782.925337832,1.7927590613460247
53,19.930025100708008,17579782.925337832,1.7927590613460247
54,19.930025100708008,17579782.925337832,1.7927590613460247
55,19.930025100708008,17579782.925337832,1.7927590613460247
56,19.930025100708008,17579782.925337832,1.7927590613460247
57,19.930025100708008,17579782.925337832,1.7927590613460247
58,19.930025100708008,17579782.925337832,1.7927590613460247
59,19.930025100708008,17579782.925337832,1.7927590613460247
60,19.930025100708008,17579782.925337832,1.7927590613460247
